screen_name	name	id	location	followers_count	friends_count	description
bcscomm	bcscomm	83915043	Washington, DC	888	2891	Writer @Washinformer @SpelmanCollege alumna #DCnative Award-winning journalist & PR pro @IABC Fellow & Past Chair IG: bcscomm Email: wibsiler@gmail.com
liaochaoqun2	廖超群	1502787622376075264	Taiwan	2	390	
Rodhandyjj	Art Vandalay 🇺🇦🇺🇦🇺🇦	1386454132022824962	Maine, USA	104	159	I’m unemployed and live with my parents. MOOPS!
JackBianchi7	Jackson	1200870825953550336		0	7	zoowee mama
MelbaBu81266475	Melba Burns	1492913469166743554		17	136	
macryant900	SpyderRyder	3425156986	🇨🇦	628	794	Let the healing begin. Let us learn from the past. 🇨🇦 follower of #TheResistance
notdevilanse	Amanda 😇	916870029123211264		13	110	do what thou wilt. 🖤✨
dickgirIdiaries	dickgirldiaries	1098760805162471424		480	212	
bloomingrx	Roxana M 🇺🇦🇨🇦	1489642891437817859	Delisle, Saskatchewan	16	163	Curious Canadian Contemplator. She/Her. Sexagenarian. We are here for each other!
nurb43211	nurb4321	1502808896292937730		0	110	
ERParker3	edieparker	16700926		7	236	
m4ggots4br4ins	emma	1112046229985218560	California, USA	40	52	
eyoTTracy	Tracy Nicole	1449604704049065984		18	368	
Taliaasaurus	Σκουπίδια	332397786		134	314	(She/Her/Hers) Feminist. LGBTQ+. BLM. Mental health advocate. Do something nice for somebody today :)
pastone61	piper	840558213690982400	United States	4	149	
luzguardado_	♡	169206990		535	251	IG: @browsbyluz_
gldsgirl1	Phyllis Huell	2247883146		1	189	
Giselle99831932	Giselle	1349049200105955329		0	30	BLM I LOVE 80'S VIVA MÉXICO
Ok1Tooshort	N.J.	2892672755	Limbo	105	314	Ubuntu to Mudita 🧩 INFP🌻
JesseMFJones	Jesse Jones	3406666818	Fort McMurray, Alberta	39	201	I'm just a guy, married, kids and constantly wonder what happened to my life? I expect you to understand. Oh yeah follow me okay.
LauraDoty4	Laura Doty	1961305896		126	397	Dance yourself clean. Saunas are nice too
Vianca_MDO	Vee💕	1367375024	Traveling	889	484	Romanos 8:31 ✝️
truthprevails56	SB2020	65521194	California, USA	5	81	Supporting from California, USA. Let the truth prevail.
Jason_P82	Jason Pinkney	470068001	Meadow Lands, PA	122	752	I like cars, guitars, and sports...
gracemwuah	Gracie	1286395280661725184	Eugene, OR	12	56	misanthrope asf
violetmasseuse	V I O L E T ✧ ottawa	1219816548036227073	༺༻	1275	414	18 + ✧.* for those with a gentle heart and a wild soul ꕥ erotic masseuse
RacyTracey	Harper	20960139	Sacramento, CA	162	1096	Triple Vaccinated Cyclist, Cancer Survivor, Caldor Fire survivor, Climate Change is real!
petropolisfuI	petros	1246491934379499521	Portland, OR	0	108	Just some guy 🙃
taylornelson43	Taylor (taylor’s version✨)	2356650962	Phoenix, AZ	1142	2132	she/hers • queer progressive organizer • hire me for comms or field pls • past: @arenasummit academy CM track @IAForWarren @CoeCollege @SwingLeft @PPACT @HRC
Aprilmh19	April Hampton	1498406503107239950		5	74	
KyleDHester	Kyle Hester is an Actor/ Filmmaker	138584469	Kyle of Hollywood	137657	143879	Actor/ Filmmaker .No quarter for racism. Films @preachersix. @themagicianfilm @zombiewashotgun @thechairhorror #Pagan. Happily married to Tracy Ray .
ActuallyReal16	Real Person	1502266279352315906		1	128	Hi! I'm an actual, real person. Only one.
maevesicles	Maeve	1061509267		153	87	
AndyRLovesBalls	Andy Rose - Republicans Are Clearly Full Of Crap!!	1178663736288120835	Texas, USA	281	424	Andy Rose - I am not subscribing to your porn link! Don't DM me to. He/Him Republicanism is Fascism Save Our Democracy, Vote Democratic Progressive Anti-Bigot
AdamTheeStan	CrackHeadBarbie	1363710785663488001		10	37	He/Him | 🏳️‍🌈 | AvaLance worshipper | Legends Whore | TUA☂️ | Runaways | Legacies | Wanda Stan🔴
bafwinn	A F 🔥	977945404921733121		31	197	BULLSHIT AF🔥
fierrofamilylaw	Gerard A Fierro	49227891	Los Angeles	120	268	Penn State Alumnus 1985 USC Law Center J.D. 1988 State Bar of California 1988
MikeGaryCole	Mike Gary Cole	63761468	Nelson, BC	193	90	crossfit guru. civil war historian (all countries). unethically monogamous. vaxxed with every brand. all pronouns offend me. live. laugh. loiter.
StarBlue63	Star	1020834629153157120		3	41	
DLMB777	Denise Bélanger	735569574	Ottawa	11	174	I draw the line at stinky tofu. Lives in the nice apartment over a meth lab. Opinions are my own.
BarbaraShoaf4	Barbara Shoaf	1468743891729850371		4	4	
Cierra__George	Cierra George	1502799105663320068		10	251	Environmentalist | Fashion and Beauty Enthusiast | Goofball | Proud Nerd | Foodie | Cat Mom
APennyValentine	Anne Valentine	1496491546417537034		51	679	Working mother, runner / OTFer, sometimes singer, never misses a meal. Food recommendations always accepted.
teresa199802	Terenice	2905798337		227	265	miren a mi perrito querido
mcarabal	living	35379608	Planet Earth	154	253	love is my choice 🌎
danielleexx17	Danielle ♡	2242861479		172	136	she/her
Kyromi616	Kyromi	1500658720669413376		0	12	I eat ass
tayissbae	t a y b a e	3192778760	always moving	530	410	✨🧚🏼‍♂️ 🌷🦄🎀🦕🌺💝🍒🌸🧸🍑
BartaLucian	Lucian Barta	1502802176091074563		2	17	
mprossi608	Maryann Rossi	1451634171659624453		2	268	
danceriam5678	Beth	225599922	Oak Park, IL	6	108	
_laurdev	AstroLaur✨	1012501841022578689	San Francisco, CA	193	400	“I could either watch it happen or be a part of it.” Future Engineer🚀 ERAU ‘23 -opinions my own-
adlr92	Just Tired	23967191	CA	165	443	‘92
sps2009	Steve Shink	19912125	Portland, Maine	40	830	
